method,checkpoint,task_name,seed,sparsity_target,sparsity_actual,recovery_epochs,accuracy,f1,acc_with_recovery,f1_with_recovery
pruning,bert-base-uncased,ag_news,42,0.62,0.6193937227982653,0,0.6485526315789474,0.5592797631454869,,
pruning,bert-base-uncased,ag_news,42,0.63,0.6293839497856755,0,0.6401315789473684,0.5636008588919332,,
pruning,bert-base-uncased,ag_news,42,0.64,0.6393741650923801,0,0.5726315789473684,0.5144403400473839,,
pruning,bert-base-uncased,ag_news,42,0.65,0.6493643920797902,0,0.41092105263157896,0.3553489372690466,,
pruning,bert-base-uncased,ag_news,42,0.66,0.659354607386495,0,0.32842105263157895,0.24209287992581183,,
pruning,bert-base-uncased,ag_news,42,0.67,0.669344834373905,0,0.2519736842105263,0.1040866389133002,,
pruning,bert-base-uncased,ag_news,42,0.68,0.6793350496806099,0,0.25,0.1,,
pruning,bert-base-uncased,ag_news,42,0.69,0.6893252766680199,0,0.25,0.1,,
pruning,bert-base-uncased,ag_news,42,0.7,0.6993154919747246,0,0.25,0.1,,
pruning,bert-base-uncased,ag_news,42,0.71,0.7093057189621348,0,0.2501315789473684,0.10027354688737965,,
pruning,bert-base-uncased,ag_news,42,0.72,0.7192959342688394,0,0.2519736842105263,0.10407459352474913,,
pruning,bert-base-uncased,ag_news,42,0.73,0.7292861612562496,0,0.25,0.1,,
pruning,bert-base-uncased,ag_news,42,0.74,0.7392763765629543,0,0.25,0.1,,
pruning,bert-base-uncased,ag_news,42,0.75,0.7492666035503643,0,0.25,0.1,,
pruning,bert-base-uncased,ag_news,42,0.76,0.7592568305377745,0,0.25,0.1,,
pruning,bert-base-uncased,ag_news,42,0.77,0.7692470458444792,0,0.25,0.1,,
pruning,bert-base-uncased,ag_news,42,0.78,0.7792372728318894,0,0.25,0.1,,
pruning,bert-base-uncased,ag_news,42,0.79,0.7892274881385941,0,0.2521052631578947,0.11434309079660027,,
pruning,bert-base-uncased,ag_news,42,0.8,0.7992177151260043,0,0.23289473684210527,0.15438179573884717,,
pruning,bert-base-uncased,ag_news,42,0.81,0.8092079304327089,0,0.2506578947368421,0.10324512049990017,,
pruning,bert-base-uncased,ag_news,42,0.82,0.819198157420119,0,0.24907894736842107,0.10250225405844737,,
pruning,bert-base-uncased,ag_news,42,0.83,0.8291883727268238,0,0.25,0.10001052742393936,,
pruning,bert-base-uncased,ag_news,42,0.84,0.8391785997142339,0,0.24960526315789475,0.09994731296101159,,
pruning,bert-base-uncased,ag_news,42,0.85,0.8491688150209387,0,0.25,0.1,,
pruning,bert-base-uncased,ag_news,42,0.86,0.8591590420083487,0,0.24986842105263157,0.09995789030424256,,
pruning,bert-base-uncased,ag_news,42,0.87,0.8691492573150534,0,0.25,0.1,,
pruning,bert-base-uncased,ag_news,42,0.88,0.8791394843024636,0,0.25,0.1,,
pruning,bert-base-uncased,ag_news,42,0.89,0.8891296996091682,0,0.25,0.1,,
pruning,bert-base-uncased,ag_news,42,0.9,0.8991199265965784,0,0.25,0.1,,
pruning,bert-base-uncased,ag_news,42,0.91,0.9091101419032831,0,0.2501315789473684,0.10033593046867918,,
pruning,bert-base-uncased,ag_news,42,0.92,0.9191003688906932,0,0.25552631578947366,0.12513045413671742,,
pruning,bert-base-uncased,ag_news,42,0.93,0.929090584197398,0,0.25,0.1,,
pruning,bert-base-uncased,ag_news,42,0.94,0.939080811184808,0,0.25,0.1,,
pruning,bert-base-uncased,ag_news,42,0.95,0.9490710264915128,0,0.25,0.1,,
pruning,bert-base-uncased,ag_news,42,0.96,0.9590612534789229,0,0.25,0.1,,
pruning,bert-base-uncased,ag_news,42,0.97,0.9690514687856276,0,0.25,0.1,,
pruning,bert-base-uncased,ag_news,42,0.98,0.9790416957730377,0,0.25,0.1,,
pruning,bert-base-uncased,ag_news,42,0.99,0.9890319110797424,0,0.25,0.1,,
pruning,bert-large-uncased,ag_news,42,0.0,0.0,0,0.9488157894736842,0.9488082552366269,,
pruning,bert-large-uncased,ag_news,42,0.01,0.009992673992480716,0,0.949078947368421,0.9490697846915186,,
